Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,GRU,AEP,Aerolineas Argentinas (AR),Aerolineas Argentinas,1052,02:36,,,,,737,,,"Direct",2564,2442,412,
- -,GRU,AEP,City Connexion Airlines (G3),City Connexion Airlines,1052,02:36,,,,,738,,,"Direct",2564,2442,1790,
- -,GRU,AEP,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1052,02:36,,,,,320,,,"Direct",2564,2442,4867,
- -,GRU,AGT,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,544,01:35,,,,,320,,,"Codeshare",2564,4305,4867,
- -,GRU,AGT,TAM Mercosur (PZ),TAM Mercosur,544,01:35,,,,,320,,,"Direct",2564,4305,5156,
- -,GRU,AJU,City Connexion Airlines (G3),City Connexion Airlines,1059,02:37,,,,,738 73G,,,"Direct",2564,2522,1790,
- -,GRU,AJU,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1059,02:37,,,,,320,,,"Direct",2564,2522,4867,
- -,GRU,AMS,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,6070,12:38,,,,,777,,,"Direct",2564,580,3090,
- -,GRU,ASU,City Connexion Airlines (G3),City Connexion Airlines,705,01:54,,,,,738 73G,,,"Direct",2564,2699,1790,
- -,GRU,ASU,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,705,01:54,,,,,320,,,"Direct",2564,2699,4867,
- -,GRU,ASU,TAM Mercosur (PZ),TAM Mercosur,705,01:54,,,,,320,,,"Direct",2564,2699,5156,
- -,GRU,ATL,Delta Air Lines (DL),Delta Air Lines,4664,09:49,,,,,76W,,,"Direct",2564,3682,2009,
- -,GRU,AUH,Etihad Airways (EY),Etihad Airways,7527,15:33,,,,,345,,,"Direct",2564,2179,2222,
- -,GRU,BCN,Singapore Airlines (SQ),Singapore Airlines,5443,11:23,,,,,77W,,,"Direct",2564,1218,4435,
- -,GRU,BEL,City Connexion Airlines (G3),City Connexion Airlines,1528,03:33,,,,,73G 738,,,"Direct",2564,2526,1790,
- -,GRU,BEL,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,1528,03:33,,,,,320,,,"Direct",2564,2526,4867,
- -,GRU,BGI,City Connexion Airlines (G3),City Connexion Airlines,2670,05:50,,,,,738,,,"Direct",2564,2875,1790,
- -,GRU,BOG,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,2692,05:53,,,,,319 330,,,"Direct",2564,2709,515,
- -,GRU,BOG,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,2692,05:53,,,,,763,,,"Direct",2564,2709,4867,
- -,GRU,BOG,LAN Airlines (LA),LAN Airlines,2692,05:53,,,,,763,,,"Codeshare",2564,2709,3200,
- -,GRU,BPS,City Connexion Airlines (G3),City Connexion Airlines,680,01:51,,,,,738,,,"Direct",2564,4209,1790,
- -,GRU,BPS,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,680,01:51,,,,,320,,,"Direct",2564,4209,4867,
- -,GRU,BSB,City Connexion Airlines (G3),City Connexion Airlines,530,01:33,,,,,738 73G,,,"Direct",2564,2531,1790,
- -,GRU,BSB,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,530,01:33,,,,,321 320,,,"Direct",2564,2531,4867,
- -,GRU,BSB,Oceanair (O6),Oceanair,530,01:33,,,,,320 318,,,"Direct",2564,2531,3764,
- -,GRU,CAC,Changan Airlines (2Z),Changan Airlines,455,01:24,,,,,AT7,,,"Direct",2564,2535,1729,
- -,GRU,CBB,Astrakhan Airlines (OB),Astrakhan Airlines,1339,03:10,,,,,733,,,"Direct",2564,2759,462,
- -,GRU,CCS,City Connexion Airlines (G3),City Connexion Airlines,2728,05:57,,,,,738,,,"Direct",2564,2851,1790,
- -,GRU,CCS,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,2728,05:57,,,,,320,,,"Direct",2564,2851,4867,
- -,GRU,CDG,Air France (AF),Air France,5840,12:10,,,,,77W 772,,,"Direct",2564,1382,137,
- -,GRU,CDG,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5840,12:10,,,,,773,,,"Direct",2564,1382,4867,
- -,GRU,CGB,City Connexion Airlines (G3),City Connexion Airlines,825,02:09,,,,,738 73G,,,"Direct",2564,2548,1790,
- -,GRU,CGB,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,825,02:09,,,,,320,,,"Direct",2564,2548,4867,
- -,GRU,CGB,Oceanair (O6),Oceanair,825,02:09,,,,,318,,,"Direct",2564,2548,3764,
- -,GRU,CGR,City Connexion Airlines (G3),City Connexion Airlines,563,01:37,,,,,738,,,"Direct",2564,2538,1790,
- -,GRU,CGR,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,563,01:37,,,,,320,,,"Direct",2564,2538,4867,
- -,GRU,CLT,American Airlines (AA),American Airlines,4635,09:46,,,,,332,,,"Direct",2564,3876,24,
- -,GRU,CLT,US Airways (US),US Airways,4635,09:46,,,,,332,,,"Direct",2564,3876,5265,
- -,GRU,CMN,Royal Air Maroc (AT),Royal Air Maroc,4682,09:51,,,,,763,,,"Direct",2564,1074,4248,
- -,GRU,CNF,City Connexion Airlines (G3),City Connexion Airlines,308,01:06,,,,,738 73G,,,"Direct",2564,2537,1790,
- -,GRU,CNF,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,308,01:06,,,,,321 320,,,"Direct",2564,2537,4867,
- -,GRU,COR,City Connexion Airlines (G3),City Connexion Airlines,1214,02:55,,,,,738,,,"Direct",2564,2443,1790,
- -,GRU,CWB,City Connexion Airlines (G3),City Connexion Airlines,223,00:56,,,,,738,,,"Direct",2564,2545,1790,
- -,GRU,CWB,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,223,00:56,,,,,320,,,"Direct",2564,2545,4867,
- -,GRU,CWB,Lufthansa (LH),Lufthansa,223,00:56,,,,,320,,,"Codeshare",2564,2545,3320,
- -,GRU,DFW,American Airlines (AA),American Airlines,5119,10:44,,,,,77W,,,"Direct",2564,3670,24,
- -,GRU,DFW,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5119,10:44,,,,,77W,,,"Direct",2564,3670,4867,
- -,GRU,DFW,US Airways (US),US Airways,5119,10:44,,,,,77W,,,"Direct",2564,3670,5265,
- -,GRU,DOH,Qatar Airways (QR),Qatar Airways,7364,15:13,,,,,77L,,,"Direct",2564,11051,4091,
- -,GRU,DOU,Changan Airlines (2Z),Changan Airlines,544,01:35,,,,,AT7,,,"Direct",2564,7380,1729,
- -,GRU,DTW,Delta Air Lines (DL),Delta Air Lines,5107,10:42,,,,,76W,,,"Direct",2564,3645,2009,
- -,GRU,DTW,City Connexion Airlines (G3),City Connexion Airlines,5107,10:42,,,,,76W,,,"Direct",2564,3645,1790,
- -,GRU,DXB,Emirates (EK),Emirates,7587,15:40,,,,,77W,,,"Direct",2564,2188,2183,
- -,GRU,EWR,United Airlines (UA),United Airlines,4771,10:02,,,,,764,,,"Direct",2564,3494,5209,
- -,GRU,EZE,Aerolineas Argentinas (AR),Aerolineas Argentinas,1069,02:38,,,,,E90,,,"Codeshare",2564,3988,412,
- -,GRU,EZE,City Connexion Airlines (G3),City Connexion Airlines,1069,02:38,,,,,738,,,"Direct",2564,3988,1790,
